company_id,year,state,industry,size_category,employees,revenue_m_usd,tech_invest_pct,tech_invest_usd,tech_emp_pct,years_in_business,founded_year,cloud_adopted,has_data_strategy,ceo_tech_background,digital_maturity,ai_adopted,ai_tools_count,ai_investment_usd,productivity_gain_pct,revenue_growth_pct,primary_barrier
SME_00021,2023,Missouri,Manufacturing,Medium (50-249),106,26.435,0.0584,1543844.0,0.1379,49,1974,1,1,0,8.18,1,6,373826.0,31.63,24.2,None
SME_00022,2024,Mississippi,Professional Services,Upper-Mid (250-500),466,5.894,0.0863,508712.0,0.1432,42,1982,1,1,0,5.0,1,7,234121.0,30.72,16.99,None
SME_00023,2023,Missouri,Construction,Small (10-49),37,1.594,0.0477,76106.0,0.1453,43,1980,1,1,0,5.64,0,0,0.0,0.0,8.84,Data quality
SME_00024,2022,Minnesota,Manufacturing,Micro (1-9),7,2.188,0.0202,44156.0,0.0487,25,1997,1,0,0,1.0,0,0,0.0,0.0,20.39,Data quality
SME_00025,2023,Arkansas,Healthcare & Biotech,Upper-Mid (250-500),446,11.715,0.1061,1243167.0,0.248,29,1994,0,1,1,3.28,0,0,0.0,0.0,11.55,Lack of expertise
SME_00026,2019,Minnesota,Professional Services,Small (10-49),14,0.506,0.0413,20904.0,0.0837,10,2009,0,0,0,4.92,0,0,0.0,0.0,-8.42,Data quality
SME_00027,2022,Pennsylvania,Technology & Software,Small (10-49),39,2.1,0.0647,135749.0,0.0,23,1999,1,1,0,2.7,1,6,19404.0,35.49,31.35,None
SME_00028,2022,Alabama,Technology & Software,Micro (1-9),7,0.923,0.0347,31999.0,0.0758,51,1971,0,0,0,2.54,0,0,0.0,0.0,9.54,Unclear ROI
SME_00029,2024,North Carolina,Finance & Insurance,Micro (1-9),5,0.276,0.0204,5639.0,0.0795,8,2016,1,0,1,4.31,1,2,4097.0,15.45,5.13,None
SME_00030,2024,Illinois,Technology & Software,Medium (50-249),162,7.571,0.0503,380724.0,0.1848,8,2016,0,0,0,4.49,1,4,91735.0,8.46,20.76,None
SME_00031,2024,Ohio,Professional Services,Micro (1-9),9,0.204,0.0396,8071.0,0.134,8,2016,0,0,0,6.51,1,6,19282.0,37.05,19.02,None
SME_00032,2023,Virginia,Healthcare & Biotech,Micro (1-9),4,0.404,0.0582,23550.0,0.0253,39,1984,1,1,0,4.83,1,6,6858.0,11.78,21.1,None
SME_00033,2023,Wisconsin,Construction,Small (10-49),35,2.818,0.0268,75492.0,0.0775,7,2016,0,1,0,4.13,0,0,0.0,0.0,-11.53,Lack of expertise
SME_00034,2019,Oregon,Finance & Insurance,Small (10-49),19,1.006,0.0542,54523.0,0.1677,38,1981,1,0,0,5.69,1,6,4883.0,21.74,16.56,None
SME_00035,2019,Arkansas,Hospitality & Food,Medium (50-249),109,1.261,0.0425,53550.0,0.1679,25,1994,0,0,0,4.3,0,0,0.0,0.0,18.45,Lack of expertise
SME_00036,2023,Nebraska,Technology & Software,Micro (1-9),5,0.242,0.0423,10230.0,0.0219,25,1998,1,0,0,6.64,1,7,4949.0,40.44,25.89,None
SME_00037,2023,Pennsylvania,Retail & E-commerce,Medium (50-249),172,3.774,0.0552,208453.0,0.0,42,1981,1,1,0,5.36,1,4,211345.0,22.44,9.6,None
SME_00038,2023,Colorado,Agriculture,Micro (1-9),8,0.061,0.0524,3175.0,0.1115,29,1994,0,0,0,6.48,0,0,0.0,0.0,10.17,Unclear ROI
SME_00039,2019,Missouri,Healthcare & Biotech,Upper-Mid (250-500),463,18.43,0.0456,840761.0,0.1887,35,1984,0,0,0,4.14,0,0,0.0,0.0,-4.66,Regulatory
SME_00040,2022,Nebraska,Agriculture,Micro (1-9),2,0.073,0.031,2256.0,0.0654,4,2018,1,1,0,4.45,1,6,4973.0,19.45,23.49,None
SME_00041,2020,Washington,Technology & Software,Upper-Mid (250-500),426,34.77,0.0631,2193098.0,0.0515,21,1999,0,0,0,9.99,1,5,233765.0,12.71,5.01,None
SME_00042,2023,Illinois,Finance & Insurance,Small (10-49),11,0.333,0.0908,30236.0,0.194,20,2003,1,0,0,5.07,1,5,7269.0,26.53,22.12,None
SME_00043,2023,California,Hospitality & Food,Micro (1-9),8,0.114,0.0117,1336.0,0.0122,46,1977,1,0,0,4.38,0,0,0.0,0.0,9.72,Regulatory
SME_00044,2020,Nebraska,Education,Micro (1-9),7,0.19,0.038,7245.0,0.1414,39,1981,0,1,0,2.44,1,5,1852.0,21.47,30.23,None
SME_00045,2021,Illinois,Manufacturing,Upper-Mid (250-500),335,22.741,0.0652,1482588.0,0.1782,35,1986,1,0,0,2.71,0,0,0.0,0.0,7.23,Regulatory
SME_00046,2024,Illinois,Finance & Insurance,Micro (1-9),2,0.341,0.0333,11347.0,0.0521,2,2022,0,1,0,6.63,1,6,4686.0,34.22,37.71,None
SME_00047,2022,Arizona,Agriculture,Micro (1-9),6,0.107,0.0343,3672.0,0.0238,4,2018,0,1,1,1.45,0,0,0.0,0.0,-3.08,Data quality
SME_00048,2019,Washington,Retail & E-commerce,Medium (50-249),130,16.912,0.0474,801412.0,0.2079,25,1994,0,0,0,4.29,0,0,0.0,0.0,10.16,Unclear ROI
SME_00049,2019,Florida,Healthcare & Biotech,Medium (50-249),98,2.576,0.0445,114668.0,0.2023,32,1987,0,0,1,6.47,1,5,98064.0,35.44,19.11,None
SME_00050,2024,North Carolina,Agriculture,Upper-Mid (250-500),275,9.886,0.062,612753.0,0.1908,13,2011,1,0,0,5.8,1,7,334417.0,38.33,18.7,None
SME_00051,2023,Kansas,Finance & Insurance,Small (10-49),35,2.274,0.0429,97639.0,0.1303,38,1985,0,0,0,1.64,0,0,0.0,0.0,20.38,Unclear ROI
SME_00052,2020,South Dakota,Finance & Insurance,Medium (50-249),88,31.783,0.0352,1118509.0,0.0873,50,1970,0,0,0,1.0,0,0,0.0,0.0,11.44,Data quality
SME_00053,2019,Nebraska,Technology & Software,Micro (1-9),1,0.05,0.0276,1382.0,0.1076,46,1973,1,0,0,5.13,1,7,4806.0,37.4,5.75,None
SME_00054,2023,California,Agriculture,Micro (1-9),9,0.276,0.0228,6294.0,0.0632,19,2004,0,1,0,4.87,1,1,40888.0,23.76,-5.26,None
SME_00055,2024,Tennessee,Professional Services,Small (10-49),34,3.098,0.0728,225585.0,0.0749,50,1974,1,1,0,5.81,0,0,0.0,0.0,14.52,Cost
SME_00056,2019,Wyoming,Manufacturing,Micro (1-9),3,0.188,0.0461,8664.0,0.1126,10,2009,0,0,0,3.53,0,0,0.0,0.0,10.88,Regulatory
SME_00057,2020,Massachusetts,Professional Services,Medium (50-249),94,3.061,0.0527,161407.0,0.2116,22,1998,0,0,0,5.74,0,0,0.0,0.0,13.02,Unclear ROI
SME_00058,2023,Arkansas,Hospitality & Food,Micro (1-9),3,0.05,0.0536,2679.0,0.08,4,2019,1,1,0,3.66,0,0,0.0,0.0,10.11,Security concerns
SME_00059,2019,Wyoming,Finance & Insurance,Small (10-49),21,1.141,0.0473,53971.0,0.1925,21,1998,0,0,0,7.44,1,2,20853.0,12.2,12.73,None
SME_00060,2023,Texas,Professional Services,Medium (50-249),175,5.513,0.0243,133783.0,0.1244,16,2007,1,0,0,4.13,1,6,83754.0,42.39,7.32,None
SME_00061,2023,Iowa,Finance & Insurance,Small (10-49),17,1.005,0.0318,31982.0,0.1958,40,1983,1,1,0,7.88,1,5,23519.0,33.67,17.02,None
SME_00062,2023,Washington,Construction,Small (10-49),11,0.346,0.0584,20201.0,0.093,23,2000,0,1,0,1.0,0,0,0.0,0.0,2.57,Regulatory
SME_00063,2020,Pennsylvania,Construction,Micro (1-9),6,0.68,0.0438,29783.0,0.0747,38,1982,1,0,0,3.2,0,0,0.0,0.0,-2.52,Cost
SME_00064,2024,Washington,Agriculture,Micro (1-9),3,0.075,0.0438,3282.0,0.146,8,2016,1,1,1,3.85,0,0,0.0,0.0,23.18,Security concerns
SME_00065,2022,Arizona,Agriculture,Small (10-49),21,0.313,0.0318,9935.0,0.0907,9,2013,0,1,0,5.42,1,4,9871.0,29.0,9.94,None
SME_00066,2024,Michigan,Construction,Micro (1-9),3,0.102,0.0345,3518.0,0.1298,51,1973,0,1,0,5.13,0,0,0.0,0.0,2.2,Security concerns
SME_00067,2019,Michigan,Finance & Insurance,Medium (50-249),211,22.982,0.0744,1710727.0,0.0477,24,1995,1,0,0,6.18,0,0,0.0,0.0,2.13,Security concerns
SME_00068,2019,Colorado,Construction,Medium (50-249),160,18.568,0.0892,1656203.0,0.0867,15,2004,0,0,0,1.73,0,0,0.0,0.0,-2.49,Cost
SME_00069,2021,Indiana,Agriculture,Micro (1-9),5,0.162,0.012,1950.0,0.0488,3,2018,0,1,1,5.77,0,0,0.0,0.0,4.14,Regulatory
SME_00070,2019,South Dakota,Manufacturing,Micro (1-9),7,0.404,0.024,9700.0,0.1561,16,2003,1,0,0,2.88,0,0,0.0,0.0,31.66,Cost
SME_00071,2020,Minnesota,Retail & E-commerce,Micro (1-9),7,0.155,0.0255,3948.0,0.0537,33,1987,1,0,0,3.12,0,0,0.0,0.0,6.77,Lack of expertise
SME_00072,2024,Indiana,Manufacturing,Small (10-49),37,3.817,0.0205,78211.0,0.1513,17,2007,1,1,1,6.13,1,5,100248.0,39.48,26.62,None
SME_00073,2023,Florida,Construction,Medium (50-249),178,8.802,0.0269,236500.0,0.0477,5,2018,1,0,0,1.0,0,0,0.0,0.0,-3.9,Regulatory
SME_00074,2022,Montana,Agriculture,Medium (50-249),205,1.959,0.0133,26060.0,0.1995,3,2019,1,1,1,6.09,0,0,0.0,0.0,16.16,Regulatory
SME_00075,2024,South Dakota,Retail & E-commerce,Micro (1-9),2,0.071,0.016,1130.0,0.1701,13,2011,0,1,0,4.38,0,0,0.0,0.0,37.47,Regulatory
SME_00076,2020,Illinois,Education,Medium (50-249),238,9.908,0.0478,474063.0,0.0938,30,1990,0,1,0,6.03,0,0,0.0,0.0,9.47,Unclear ROI
SME_00077,2023,Colorado,Technology & Software,Medium (50-249),99,6.301,0.0596,375304.0,0.1999,20,2003,1,0,0,4.99,1,2,745863.0,12.1,17.92,None
SME_00078,2021,North Carolina,Healthcare & Biotech,Small (10-49),19,1.712,0.0162,27668.0,0.144,13,2008,0,1,0,8.19,1,2,131048.0,17.57,20.1,None
SME_00079,2023,Florida,Construction,Micro (1-9),9,0.224,0.0606,13589.0,0.1047,46,1977,1,1,0,4.19,0,0,0.0,0.0,-8.14,Cost
SME_00080,2023,Arizona,Finance & Insurance,Micro (1-9),6,0.637,0.0326,20758.0,0.1066,42,1981,1,1,0,6.21,1,2,11664.0,14.77,3.6,None
SME_00081,2020,Washington,Healthcare & Biotech,Upper-Mid (250-500),353,13.029,0.079,1029580.0,0.1054,37,1983,0,0,0,7.41,1,7,330746.0,40.02,5.15,None
SME_00082,2022,South Dakota,Finance & Insurance,Small (10-49),20,1.092,0.0551,60226.0,0.1322,29,1993,0,0,0,7.44,1,4,16057.0,29.71,11.65,None
SME_00083,2020,Florida,Construction,Micro (1-9),2,0.141,0.0332,4681.0,0.0537,35,1985,0,1,0,3.53,0,0,0.0,0.0,-4.28,Data quality
SME_00084,2019,Michigan,Finance & Insurance,Micro (1-9),4,0.173,0.0295,5101.0,0.0332,25,1994,1,0,0,5.0,1,4,1750.0,13.5,-3.93,None
SME_00085,2023,Arizona,Construction,Micro (1-9),5,0.185,0.0216,3987.0,0.0967,37,1986,1,0,0,3.15,0,0,0.0,0.0,9.93,Cost
SME_00086,2023,Georgia,Healthcare & Biotech,Micro (1-9),7,0.688,0.0422,29006.0,0.0827,49,1974,1,0,0,5.38,1,6,18748.0,40.94,8.36,None
SME_00087,2024,New York,Finance & Insurance,Micro (1-9),1,0.082,0.0179,1460.0,0.1343,26,1998,0,1,1,6.17,1,2,8983.0,12.09,16.94,None
SME_00088,2024,Indiana,Technology & Software,Upper-Mid (250-500),379,6.098,0.0479,292250.0,0.1491,32,1992,1,1,0,6.75,1,2,57095.0,4.71,13.81,None
SME_00089,2022,California,Manufacturing,Micro (1-9),7,0.472,0.0341,16097.0,0.0274,25,1997,1,0,0,4.61,0,0,0.0,0.0,16.16,Security concerns
SME_00090,2023,Wyoming,Construction,Small (10-49),12,0.653,0.0238,15577.0,0.1427,14,2009,1,0,1,5.55,0,0,0.0,0.0,0.28,Unclear ROI
SME_00091,2023,Georgia,Construction,Micro (1-9),9,0.305,0.0209,6352.0,0.0928,15,2008,0,1,0,4.58,0,0,0.0,0.0,-6.55,Cost
SME_00092,2023,Indiana,Education,Micro (1-9),6,0.066,0.0442,2906.0,0.1567,4,2019,1,0,1,3.49,0,0,0.0,0.0,0.77,Lack of expertise
SME_00093,2022,Pennsylvania,Professional Services,Small (10-49),48,3.152,0.0442,139302.0,0.0436,50,1972,1,1,0,5.3,0,0,0.0,0.0,15.16,Security concerns
SME_00094,2023,Tennessee,Education,Small (10-49),22,1.059,0.0878,92901.0,0.1205,35,1988,1,1,0,4.22,1,6,6638.0,21.15,8.89,None
SME_00095,2023,Massachusetts,Hospitality & Food,Micro (1-9),6,0.23,0.021,4834.0,0.133,40,1983,1,1,0,6.37,0,0,0.0,0.0,1.38,Cost
SME_00096,2024,Tennessee,Technology & Software,Micro (1-9),8,0.656,0.0224,14708.0,0.1238,3,2021,0,1,1,4.48,1,5,9292.0,20.91,4.15,None
SME_00097,2023,Tennessee,Professional Services,Micro (1-9),4,0.065,0.0313,2031.0,0.1197,44,1979,1,0,0,1.42,0,0,0.0,0.0,11.65,Unclear ROI
SME_00098,2021,New York,Manufacturing,Medium (50-249),203,23.206,0.0378,876751.0,0.0548,2,2019,1,1,0,4.2,0,0,0.0,0.0,10.47,Lack of expertise
SME_00099,2024,Montana,Construction,Micro (1-9),6,0.163,0.0199,3247.0,0.0745,42,1982,1,0,1,5.13,0,0,0.0,0.0,4.35,Regulatory
SME_00100,2021,Virginia,Finance & Insurance,Micro (1-9),2,0.188,0.0552,10351.0,0.1327,31,1990,1,0,0,6.12,0,0,0.0,0.0,6.75,Security concerns
SME_00101,2024,California,Construction,Small (10-49),16,0.976,0.075,73149.0,0.1627,9,2015,1,0,0,5.57,0,0,0.0,0.0,34.08,Security concerns
SME_00102,2024,Indiana,Healthcare & Biotech,Small (10-49),33,1.597,0.0445,71084.0,0.1119,34,1990,1,0,0,3.99,0,0,0.0,0.0,-17.6,Data quality
SME_00103,2024,Wyoming,Hospitality & Food,Medium (50-249),240,1.972,0.052,102622.0,0.0473,32,1992,1,1,0,7.34,0,0,0.0,0.0,1.78,Regulatory
SME_00104,2021,Mississippi,Hospitality & Food,Micro (1-9),8,0.05,0.0464,2319.0,0.0324,9,2012,0,1,0,2.81,0,0,0.0,0.0,17.47,Regulatory
SME_00105,2024,Kansas,Healthcare & Biotech,Medium (50-249),95,2.921,0.0486,141955.0,0.0711,52,1972,0,0,1,3.42,0,0,0.0,0.0,12.68,Unclear ROI
SME_00106,2024,Nebraska,Retail & E-commerce,Micro (1-9),9,0.555,0.0298,16577.0,0.0,29,1995,1,0,0,4.4,0,0,0.0,0.0,2.02,Regulatory
SME_00107,2023,Missouri,Finance & Insurance,Small (10-49),31,3.798,0.0516,196096.0,0.0822,15,2008,0,0,1,5.88,1,5,29574.0,37.5,13.68,None
SME_00108,2019,Minnesota,Healthcare & Biotech,Small (10-49),47,1.908,0.037,70680.0,0.0808,32,1987,1,0,0,7.35,1,4,50524.0,29.91,24.59,None
SME_00109,2020,Oregon,Finance & Insurance,Small (10-49),45,1.932,0.035,67686.0,0.1786,48,1972,1,1,0,6.77,1,1,32355.0,23.37,9.79,None
SME_00110,2024,Florida,Construction,Medium (50-249),68,3.899,0.0899,350692.0,0.1173,44,1980,1,0,0,4.36,0,0,0.0,0.0,-14.62,Security concerns
SME_00111,2021,Kansas,Professional Services,Micro (1-9),7,0.53,0.0331,17541.0,0.0606,31,1990,1,0,0,4.91,0,0,0.0,0.0,12.24,Lack of expertise
SME_00112,2023,New York,Technology & Software,Upper-Mid (250-500),257,2.132,0.0761,162296.0,0.105,3,2020,1,0,0,6.71,1,1,19365.0,16.25,30.06,None
SME_00113,2022,Indiana,Healthcare & Biotech,Upper-Mid (250-500),411,29.465,0.058,1708549.0,0.1074,34,1988,0,0,0,6.33,0,0,0.0,0.0,17.68,Security concerns
SME_00114,2020,Iowa,Professional Services,Micro (1-9),8,0.552,0.0234,12926.0,0.1042,14,2006,1,0,0,4.0,0,0,0.0,0.0,6.08,Regulatory
SME_00115,2024,Virginia,Technology & Software,Small (10-49),17,0.838,0.0497,41618.0,0.0226,22,2002,1,1,0,3.6,1,7,32063.0,36.28,28.71,None
SME_00116,2022,Nebraska,Retail & E-commerce,Micro (1-9),3,0.114,0.0291,3328.0,0.1355,35,1987,1,0,0,3.17,0,0,0.0,0.0,6.82,Security concerns
SME_00117,2019,Arkansas,Hospitality & Food,Small (10-49),21,0.272,0.0066,1804.0,0.0784,27,1992,0,1,0,5.24,0,0,0.0,0.0,-15.51,Regulatory
SME_00118,2022,Alabama,Professional Services,Micro (1-9),2,0.05,0.005,250.0,0.1468,20,2002,1,0,0,3.06,0,0,0.0,0.0,4.73,Lack of expertise
SME_00119,2024,California,Healthcare & Biotech,Small (10-49),37,2.788,0.0644,179500.0,0.174,31,1993,0,1,0,3.69,1,6,253231.0,26.3,15.34,None
SME_00120,2019,South Dakota,Professional Services,Micro (1-9),3,0.05,0.0265,1327.0,0.0801,33,1986,0,0,0,3.67,1,4,5058.0,27.25,18.6,None
SME_00121,2020,Ohio,Technology & Software,Micro (1-9),5,0.184,0.0487,8965.0,0.0393,47,1973,0,0,0,4.01,1,1,25434.0,20.68,21.82,None
SME_00122,2022,Michigan,Finance & Insurance,Micro (1-9),1,0.05,0.0463,2317.0,0.1287,34,1988,0,0,0,2.76,1,7,3446.0,31.15,49.08,None
SME_00123,2021,Texas,Professional Services,Medium (50-249),54,1.304,0.0687,89599.0,0.1238,41,1980,1,0,0,2.64,1,4,25017.0,39.13,18.74,None
SME_00124,2022,Georgia,Construction,Small (10-49),23,0.283,0.0097,2735.0,0.1899,4,2018,1,0,0,7.39,1,3,4828.0,22.79,12.5,None
SME_00125,2021,Michigan,Manufacturing,Small (10-49),40,5.716,0.0547,312674.0,0.1123,22,1999,1,0,0,4.44,1,5,285791.0,23.75,4.39,None
SME_00126,2024,California,Education,Micro (1-9),4,0.098,0.0415,4072.0,0.1017,46,1978,1,0,0,4.92,1,1,7981.0,23.6,5.87,None
SME_00127,2019,Pennsylvania,Healthcare & Biotech,Small (10-49),22,1.299,0.0515,66857.0,0.083,48,1971,0,0,0,5.57,0,0,0.0,0.0,15.91,Unclear ROI
SME_00128,2022,Pennsylvania,Technology & Software,Micro (1-9),5,0.165,0.0121,1998.0,0.0545,3,2019,0,0,1,5.68,1,6,14154.0,28.51,41.18,None
SME_00129,2024,Pennsylvania,Professional Services,Micro (1-9),7,0.166,0.0533,8849.0,0.1074,32,1992,1,0,0,3.35,1,1,3030.0,20.12,25.5,None
SME_00130,2024,Georgia,Construction,Micro (1-9),2,0.17,0.0222,3785.0,0.0773,28,1996,1,0,0,3.95,1,4,2746.0,28.73,17.56,None
SME_00131,2021,Montana,Manufacturing,Medium (50-249),66,7.038,0.053,372811.0,0.1198,11,2010,0,0,0,4.89,0,0,0.0,0.0,-21.1,Lack of expertise
SME_00132,2020,Arkansas,Manufacturing,Medium (50-249),65,9.561,0.0423,404843.0,0.1873,33,1987,1,1,0,4.66,1,7,55171.0,38.54,24.08,None
SME_00133,2023,Massachusetts,Professional Services,Medium (50-249),62,0.784,0.0521,40858.0,0.0313,25,1998,0,0,0,7.33,1,4,7886.0,35.56,15.61,None
SME_00134,2023,Oregon,Retail & E-commerce,Micro (1-9),1,0.05,0.0318,1589.0,0.1123,47,1976,1,0,0,3.61,1,6,1104.0,24.2,30.19,None
SME_00135,2021,Pennsylvania,Retail & E-commerce,Medium (50-249),100,4.186,0.0644,269552.0,0.0,37,1984,1,0,0,1.7,0,0,0.0,0.0,6.76,Regulatory
SME_00136,2023,Georgia,Professional Services,Micro (1-9),7,0.309,0.0176,5429.0,0.1005,53,1970,0,0,0,3.35,1,5,12724.0,28.48,21.81,None
SME_00137,2022,Minnesota,Construction,Small (10-49),14,0.251,0.0402,10091.0,0.1026,32,1990,0,1,1,6.08,0,0,0.0,0.0,-0.39,Unclear ROI
SME_00138,2019,Arizona,Professional Services,Micro (1-9),1,0.05,0.0399,1994.0,0.052,24,1995,0,0,0,3.09,0,0,0.0,0.0,-23.09,Cost
SME_00139,2024,Minnesota,Finance & Insurance,Micro (1-9),2,0.144,0.0371,5339.0,0.1011,33,1991,1,0,1,3.13,1,6,15232.0,39.4,22.61,None
SME_00140,2024,Mississippi,Agriculture,Micro (1-9),8,0.233,0.0415,9680.0,0.0775,45,1979,1,1,1,2.84,0,0,0.0,0.0,33.2,Lack of expertise
SME_00141,2022,Virginia,Healthcare & Biotech,Medium (50-249),212,11.688,0.0347,405678.0,0.1837,35,1987,1,1,0,1.16,0,0,0.0,0.0,22.94,Security concerns
SME_00142,2021,Colorado,Construction,Upper-Mid (250-500),271,9.765,0.0763,745486.0,0.1643,26,1995,0,1,0,10.0,0,0,0.0,0.0,14.59,Unclear ROI
SME_00143,2024,Michigan,Retail & E-commerce,Micro (1-9),8,0.161,0.0171,2758.0,0.0686,28,1996,1,0,0,4.54,1,4,8595.0,23.08,4.08,None
SME_00144,2024,Arkansas,Agriculture,Small (10-49),32,0.637,0.0525,33426.0,0.1981,45,1979,1,0,0,3.16,0,0,0.0,0.0,5.92,Regulatory
SME_00145,2023,Iowa,Construction,Micro (1-9),2,0.055,0.0186,1024.0,0.0689,23,2000,1,1,0,4.94,1,4,16074.0,12.24,4.49,None
SME_00146,2022,Montana,Technology & Software,Micro (1-9),9,0.503,0.0295,14807.0,0.0452,29,1993,1,0,0,4.42,1,1,49631.0,44.88,28.74,None
SME_00147,2024,Texas,Education,Medium (50-249),106,3.156,0.0359,113378.0,0.0952,38,1986,1,1,1,2.21,1,4,113869.0,35.13,38.15,None
SME_00148,2023,California,Finance & Insurance,Medium (50-249),212,15.54,0.0595,924691.0,0.1831,38,1985,1,1,1,5.15,1,1,1941018.0,35.42,-2.71,None
SME_00149,2023,Mississippi,Agriculture,Small (10-49),32,1.258,0.0304,38247.0,0.0658,2,2021,1,1,0,4.22,0,0,0.0,0.0,8.32,Unclear ROI
SME_00150,2023,Arizona,Technology & Software,Medium (50-249),118,3.593,0.0119,42899.0,0.0583,31,1992,1,0,1,8.14,1,7,81994.0,31.68,25.91,None
SME_00151,2020,Illinois,Hospitality & Food,Micro (1-9),9,0.124,0.0278,3441.0,0.1003,2,2018,0,0,0,1.53,0,0,0.0,0.0,12.09,Security concerns
SME_00152,2022,Montana,Professional Services,Small (10-49),48,1.611,0.0275,44283.0,0.0863,17,2005,1,0,0,7.05,1,2,83483.0,30.11,-1.87,None
SME_00153,2020,Washington,Construction,Upper-Mid (250-500),399,26.272,0.0923,2424846.0,0.1167,42,1978,1,0,0,5.47,0,0,0.0,0.0,15.45,Cost
SME_00154,2023,California,Agriculture,Micro (1-9),3,0.081,0.0357,2905.0,0.0863,4,2019,1,1,0,3.83,0,0,0.0,0.0,31.58,Data quality
SME_00155,2019,New York,Finance & Insurance,Small (10-49),12,1.202,0.0162,19484.0,0.0152,14,2005,0,1,0,5.5,0,0,0.0,0.0,4.75,Security concerns
SME_00156,2021,Arizona,Agriculture,Micro (1-9),9,0.33,0.0261,8609.0,0.126,2,2019,1,0,0,4.75,0,0,0.0,0.0,7.97,Unclear ROI
SME_00157,2021,New York,Education,Small (10-49),13,0.156,0.0243,3774.0,0.1478,24,1997,1,0,1,4.19,0,0,0.0,0.0,25.85,Regulatory
SME_00158,2024,Pennsylvania,Hospitality & Food,Micro (1-9),4,0.06,0.0333,1990.0,0.1099,16,2008,1,0,1,4.98,0,0,0.0,0.0,-8.63,Cost
SME_00159,2022,Minnesota,Manufacturing,Medium (50-249),244,18.039,0.0487,878106.0,0.1078,5,2017,1,0,0,7.88,0,0,0.0,0.0,-1.2,Cost
