company_id,year,state,industry,size_category,employees,revenue_m_usd,tech_invest_pct,tech_invest_usd,tech_emp_pct,years_in_business,founded_year,cloud_adopted,has_data_strategy,ceo_tech_background,digital_maturity,ai_adopted,ai_tools_count,ai_investment_usd,productivity_gain_pct,revenue_growth_pct,primary_barrier,revenue_per_employee,ai_investment_per_employee,tech_invest_k_usd,size_num,region,post_chatgpt,ai_readiness_score,industry_enc,state_enc,region_enc,size_category_enc,primary_barrier_enc,cluster_id,cluster_name
SME_00024,2022,Minnesota,Manufacturing,Micro (1-9),7,2.188,0.0202,44156.0,0.0487,25,1997,1,0,0,1.0,0,0,0.0,0.0,20.39,Data quality,312571.4285714286,0.0,44.156,1,Midwest,0,0.33465,6,13,0,1,1,1.0,Traditional SMEs
SME_00025,2023,Arkansas,Healthcare & Biotech,Upper-Mid (250-500),112,5.968500000000001,0.1061,1243167.0,0.248,29,1994,0,1,1,3.28,0,0,0.0,0.0,11.55,Lack of expertise,53290.17857142858,0.0,1243.167,4,Southeast,1,0.5484,4,2,2,3,2,2.0,AI Pioneers
SME_00026,2019,Minnesota,Professional Services,Small (10-49),14,0.506,0.0413,20904.0,0.0837,10,2009,0,0,0,4.92,0,0,0.0,0.0,-8.42,Data quality,36142.857142857145,0.0,20.904,2,Midwest,0,0.2513999999999999,7,13,0,2,1,1.0,Traditional SMEs
SME_00027,2022,Pennsylvania,Technology & Software,Small (10-49),39,2.1,0.0647,135749.0,0.0,23,1999,1,1,0,2.7,1,6,19404.0,35.49,31.35,,53846.15384615384,497.53846153846155,135.749,2,Northeast,0,0.62805,9,22,1,2,6,3.0,Digital Explorers
SME_00028,2022,Alabama,Technology & Software,Micro (1-9),7,0.923,0.0347,31999.0,0.0758,51,1971,0,0,0,2.54,0,0,0.0,0.0,9.54,Unclear ROI,131857.14285714287,0.0,31.999,1,Southeast,0,0.16615,9,0,2,1,5,1.0,Traditional SMEs
SME_00029,2024,North Carolina,Finance & Insurance,Micro (1-9),5,0.276,0.0204,5639.0,0.0795,8,2016,1,0,1,4.31,1,2,4097.0,15.45,5.13,,55200.0,819.4,5.639,1,Southeast,1,0.44965,3,19,2,1,6,0.0,Cost-Conscious Adopters
SME_00030,2024,Illinois,Technology & Software,Medium (50-249),112,5.968500000000001,0.0503,380724.0,0.1848,8,2016,0,0,0,4.49,1,4,29926.25,8.46,20.76,,53290.17857142858,267.1986607142857,380.724,3,Midwest,1,0.30255,9,7,0,0,6,2.0,AI Pioneers
SME_00031,2024,Ohio,Professional Services,Micro (1-9),9,0.204,0.0396,8071.0,0.134,8,2016,0,0,0,6.51,1,6,19282.0,37.05,19.02,,22666.666666666668,2142.4444444444443,8.071,1,Midwest,1,0.3217,7,20,0,1,6,1.0,Traditional SMEs
SME_00032,2023,Virginia,Healthcare & Biotech,Micro (1-9),4,0.404,0.0582,23550.0,0.0253,39,1984,1,1,0,4.83,1,6,6858.0,11.78,21.1,,101000.0,1714.5,23.55,1,Southeast,1,0.6948500000000001,4,26,2,1,6,3.0,Digital Explorers
SME_00033,2023,Wisconsin,Construction,Small (10-49),35,2.818,0.0268,75492.0,0.0775,7,2016,0,1,0,4.13,0,0,0.0,0.0,-11.53,Lack of expertise,80514.28571428571,0.0,75.492,2,Midwest,1,0.40285,1,28,0,2,2,3.0,Digital Explorers
SME_00034,2019,Oregon,Finance & Insurance,Small (10-49),19,1.006,0.0542,54523.0,0.1677,38,1981,1,0,0,5.69,1,6,4883.0,21.74,16.56,,52947.36842105263,257.0,54.523,2,West,0,0.58585,3,21,4,2,6,1.0,Traditional SMEs
SME_00035,2019,Arkansas,Hospitality & Food,Medium (50-249),109,1.261,0.0425,53550.0,0.1679,25,1994,0,0,0,4.3,0,0,0.0,0.0,18.45,Lack of expertise,11568.80733944954,0.0,53.55,3,Southeast,0,0.2767,5,2,2,0,2,2.0,AI Pioneers
SME_00036,2023,Nebraska,Technology & Software,Micro (1-9),5,0.242,0.0423,10230.0,0.0219,25,1998,1,0,0,6.64,1,7,4949.0,40.44,25.89,,48400.0,989.8,10.23,1,Midwest,1,0.5236,9,17,0,1,6,1.0,Traditional SMEs
SME_00037,2023,Pennsylvania,Retail & E-commerce,Medium (50-249),112,3.774,0.0552,208453.0,0.0,42,1981,1,1,0,5.36,1,4,29926.25,22.44,9.6,,33696.42857142857,267.1986607142857,208.453,3,Northeast,1,0.6936,8,22,1,0,6,2.0,AI Pioneers
SME_00038,2023,Colorado,Agriculture,Micro (1-9),8,0.061,0.0524,3175.0,0.1115,29,1994,0,0,0,6.48,0,0,0.0,0.0,10.17,Unclear ROI,7625.0,0.0,3.175,1,West,1,0.32875,0,4,4,1,5,1.0,Traditional SMEs
SME_00039,2019,Missouri,Healthcare & Biotech,Upper-Mid (250-500),112,5.968500000000001,0.0456,840761.0,0.1887,35,1984,0,0,0,4.14,0,0,0.0,0.0,-4.66,Regulatory,53290.17857142858,0.0,840.761,4,Midwest,0,0.28695,4,15,0,3,3,2.0,AI Pioneers
SME_00040,2022,Nebraska,Agriculture,Micro (1-9),2,0.073,0.031,2256.0,0.0654,4,2018,1,1,0,4.45,1,6,4973.0,19.45,23.49,,36500.0,2486.5,2.256,1,Midwest,0,0.6627,0,17,0,1,6,3.0,Digital Explorers
SME_00041,2020,Washington,Technology & Software,Upper-Mid (250-500),112,5.968500000000001,0.0631,2193098.0,0.0515,21,1999,0,0,0,9.99,1,5,29926.25,12.71,5.01,,53290.17857142858,267.1986607142857,2193.098,4,West,0,0.4201,9,27,4,3,6,2.0,AI Pioneers
SME_00042,2023,Illinois,Finance & Insurance,Small (10-49),11,0.333,0.0908,30236.0,0.194,20,2003,1,0,0,5.07,1,5,7269.0,26.53,22.12,,30272.727272727272,660.8181818181819,30.236,2,Midwest,1,0.6353,3,7,0,2,6,1.0,Traditional SMEs
SME_00043,2023,California,Hospitality & Food,Micro (1-9),8,0.114,0.0117,1336.0,0.0122,46,1977,1,0,0,4.38,0,0,0.0,0.0,9.72,Regulatory,14250.0,0.0,1.336,1,West,1,0.4050499999999999,5,3,4,1,3,1.0,Traditional SMEs
SME_00044,2020,Nebraska,Education,Micro (1-9),7,0.19,0.038,7245.0,0.1414,39,1981,0,1,0,2.44,1,5,1852.0,21.47,30.23,,27142.85714285714,264.57142857142856,7.245,1,Midwest,0,0.4009,2,17,0,1,6,3.0,Digital Explorers
SME_00045,2021,Illinois,Manufacturing,Upper-Mid (250-500),112,5.968500000000001,0.0652,1482588.0,0.1782,35,1986,1,0,0,2.71,0,0,0.0,0.0,7.23,Regulatory,53290.17857142858,0.0,1482.588,4,Midwest,0,0.5182,6,7,0,3,3,2.0,AI Pioneers
SME_00046,2024,Illinois,Finance & Insurance,Micro (1-9),2,0.341,0.0333,11347.0,0.0521,2,2022,0,1,0,6.63,1,6,4686.0,34.22,37.71,,170500.0,2343.0,11.347,1,Midwest,1,0.4749,3,7,0,1,6,3.0,Digital Explorers
SME_00047,2022,Arizona,Agriculture,Micro (1-9),6,0.107,0.0343,3672.0,0.0238,4,2018,0,1,1,1.45,0,0,0.0,0.0,-3.08,Data quality,17833.333333333332,0.0,3.672,1,Southwest,0,0.30685,0,1,3,1,1,0.0,Cost-Conscious Adopters
SME_00048,2019,Washington,Retail & E-commerce,Medium (50-249),112,5.968500000000001,0.0474,801412.0,0.2079,25,1994,0,0,0,4.29,0,0,0.0,0.0,10.16,Unclear ROI,53290.17857142858,0.0,801.412,3,West,0,0.2997999999999999,8,27,4,0,5,2.0,AI Pioneers
SME_00049,2019,Florida,Healthcare & Biotech,Medium (50-249),98,2.576,0.0445,114668.0,0.2023,32,1987,0,0,1,6.47,1,5,29926.25,35.44,19.11,,26285.714285714286,305.3698979591837,114.668,3,Southeast,0,0.36085,4,5,2,0,6,2.0,AI Pioneers
SME_00050,2024,North Carolina,Agriculture,Upper-Mid (250-500),112,5.968500000000001,0.062,612753.0,0.1908,13,2011,1,0,0,5.8,1,7,29926.25,38.33,18.7,,53290.17857142858,267.1986607142857,612.753,4,Southeast,1,0.6124,0,19,2,3,6,2.0,AI Pioneers
SME_00051,2023,Kansas,Finance & Insurance,Small (10-49),35,2.274,0.0429,97639.0,0.1303,38,1985,0,0,0,1.64,0,0,0.0,0.0,20.38,Unclear ROI,64971.42857142857,0.0,97.639,2,Midwest,1,0.1786999999999999,3,10,0,2,5,1.0,Traditional SMEs
SME_00052,2020,South Dakota,Finance & Insurance,Medium (50-249),88,5.968500000000001,0.0352,1118509.0,0.0873,50,1970,0,0,0,1.0,0,0,0.0,0.0,11.44,Data quality,67823.86363636365,0.0,1118.509,3,Midwest,0,0.12645,3,23,0,0,1,2.0,AI Pioneers
SME_00053,2019,Nebraska,Technology & Software,Micro (1-9),1,0.05,0.0276,1382.0,0.1076,46,1973,1,0,0,5.13,1,7,4806.0,37.4,5.75,,50000.0,4806.0,1.382,1,Midwest,0,0.4991,9,17,0,1,6,1.0,Traditional SMEs
SME_00054,2023,California,Agriculture,Micro (1-9),9,0.276,0.0228,6294.0,0.0632,19,2004,0,1,0,4.87,1,1,29926.25,23.76,-5.26,,30666.666666666668,3325.1388888888887,6.294,1,West,1,0.4119,0,3,4,1,6,3.0,Digital Explorers
SME_00055,2024,Tennessee,Professional Services,Small (10-49),34,3.098,0.0728,225585.0,0.0749,50,1974,1,1,0,5.81,0,0,0.0,0.0,14.52,Cost,91117.64705882352,0.0,225.585,2,Southeast,1,0.77095,7,24,2,2,0,3.0,Digital Explorers
SME_00056,2019,Wyoming,Manufacturing,Micro (1-9),3,0.188,0.0461,8664.0,0.1126,10,2009,0,0,0,3.53,0,0,0.0,0.0,10.88,Regulatory,62666.666666666664,0.0,8.664,1,West,0,0.23135,6,29,4,1,3,1.0,Traditional SMEs
SME_00057,2020,Massachusetts,Professional Services,Medium (50-249),94,3.061,0.0527,161407.0,0.2116,22,1998,0,0,0,5.74,0,0,0.0,0.0,13.02,Unclear ROI,32563.82978723404,0.0,161.407,3,Northeast,0,0.3512499999999999,7,11,1,0,5,2.0,AI Pioneers
SME_00058,2023,Arkansas,Hospitality & Food,Micro (1-9),3,0.05,0.0536,2679.0,0.08,4,2019,1,1,0,3.66,0,0,0.0,0.0,10.11,Security concerns,16666.666666666668,0.0,2.679,1,Southeast,1,0.6802000000000001,5,2,2,1,4,3.0,Digital Explorers
SME_00059,2019,Wyoming,Finance & Insurance,Small (10-49),21,1.141,0.0473,53971.0,0.1925,21,1998,0,0,0,7.44,1,2,20853.0,12.2,12.73,,54333.333333333336,993.0,53.971,2,West,0,0.3903999999999999,3,29,4,2,6,1.0,Traditional SMEs
SME_00060,2023,Texas,Professional Services,Medium (50-249),112,5.513,0.0243,133783.0,0.1244,16,2007,1,0,0,4.13,1,6,29926.25,42.39,7.32,,49223.21428571428,267.1986607142857,133.783,3,Southwest,1,0.47255,7,25,3,0,6,2.0,AI Pioneers
SME_00061,2023,Iowa,Finance & Insurance,Small (10-49),17,1.005,0.0318,31982.0,0.1958,40,1983,1,1,0,7.88,1,5,23519.0,33.67,17.02,,59117.64705882352,1383.470588235294,31.982,2,Midwest,1,0.832,3,9,0,2,6,3.0,Digital Explorers
SME_00062,2023,Washington,Construction,Small (10-49),11,0.346,0.0584,20201.0,0.093,23,2000,0,1,0,1.0,0,0,0.0,0.0,2.57,Regulatory,31454.545454545456,0.0,20.201,2,West,1,0.3641,1,27,4,2,3,3.0,Digital Explorers
SME_00063,2020,Pennsylvania,Construction,Micro (1-9),6,0.68,0.0438,29783.0,0.0747,38,1982,1,0,0,3.2,0,0,0.0,0.0,-2.52,Cost,113333.33333333331,0.0,29.783,1,Northeast,0,0.4490499999999999,1,22,1,1,0,1.0,Traditional SMEs
SME_00064,2024,Washington,Agriculture,Micro (1-9),3,0.075,0.0438,3282.0,0.146,8,2016,1,1,1,3.85,0,0,0.0,0.0,23.18,Security concerns,25000.0,0.0,3.282,1,West,1,0.7041999999999999,0,27,4,1,4,0.0,Cost-Conscious Adopters
SME_00065,2022,Arizona,Agriculture,Small (10-49),21,0.313,0.0318,9935.0,0.0907,9,2013,0,1,0,5.42,1,4,9871.0,29.0,9.94,,14904.761904761905,470.04761904761904,9.935,2,Southwest,0,0.45565,0,1,3,2,6,3.0,Digital Explorers
SME_00066,2024,Michigan,Construction,Micro (1-9),3,0.102,0.0345,3518.0,0.1298,51,1973,0,1,0,5.13,0,0,0.0,0.0,2.2,Security concerns,34000.0,0.0,3.518,1,Midwest,1,0.47055,1,12,0,1,4,3.0,Digital Explorers
SME_00067,2019,Michigan,Finance & Insurance,Medium (50-249),112,5.968500000000001,0.0744,1710727.0,0.0477,24,1995,1,0,0,6.18,0,0,0.0,0.0,2.13,Security concerns,53290.17857142858,0.0,1710.727,3,Midwest,0,0.5708500000000001,3,12,0,0,4,2.0,AI Pioneers
SME_00068,2019,Colorado,Construction,Medium (50-249),112,5.968500000000001,0.0892,1656203.0,0.0867,15,2004,0,0,0,1.73,0,0,0.0,0.0,-2.49,Cost,53290.17857142858,0.0,1656.203,3,West,0,0.22905,1,4,4,0,0,2.0,AI Pioneers
SME_00069,2021,Indiana,Agriculture,Micro (1-9),5,0.162,0.012,1950.0,0.0488,3,2018,0,1,1,5.77,0,0,0.0,0.0,4.14,Regulatory,32400.0,0.0,1.95,1,Midwest,0,0.4155,0,8,0,1,3,0.0,Cost-Conscious Adopters
SME_00070,2019,South Dakota,Manufacturing,Micro (1-9),7,0.404,0.024,9700.0,0.1561,16,2003,1,0,0,2.88,0,0,0.0,0.0,31.66,Cost,57714.28571428572,0.0,9.7,1,Midwest,0,0.4504499999999999,6,23,0,1,0,1.0,Traditional SMEs
SME_00071,2020,Minnesota,Retail & E-commerce,Micro (1-9),7,0.155,0.0255,3948.0,0.0537,33,1987,1,0,0,3.12,0,0,0.0,0.0,6.77,Lack of expertise,22142.85714285714,0.0,3.948,1,Midwest,0,0.4087,8,13,0,1,2,1.0,Traditional SMEs
SME_00072,2024,Indiana,Manufacturing,Small (10-49),37,3.817,0.0205,78211.0,0.1513,17,2007,1,1,1,6.13,1,5,29926.25,39.48,26.62,,103162.16216216216,808.8175675675676,78.211,2,Midwest,1,0.7403,6,8,0,2,6,0.0,Cost-Conscious Adopters
SME_00073,2023,Florida,Construction,Medium (50-249),112,5.968500000000001,0.0269,236500.0,0.0477,5,2018,1,0,0,1.0,0,0,0.0,0.0,-3.9,Regulatory,53290.17857142858,0.0,236.5,3,Southeast,1,0.3442,1,5,2,0,3,2.0,AI Pioneers
SME_00074,2022,Montana,Agriculture,Medium (50-249),112,1.959,0.0133,26060.0,0.1995,3,2019,1,1,1,6.09,0,0,0.0,0.0,16.16,Regulatory,17491.071428571428,0.0,26.06,3,West,0,0.7524000000000001,0,16,4,0,3,0.0,Cost-Conscious Adopters
SME_00075,2024,South Dakota,Retail & E-commerce,Micro (1-9),2,0.071,0.016,1130.0,0.1701,13,2011,0,1,0,4.38,0,0,0.0,0.0,37.47,Regulatory,35500.0,0.0,1.13,1,Midwest,1,0.44045,8,23,0,1,3,3.0,Digital Explorers
SME_00076,2020,Illinois,Education,Medium (50-249),112,5.968500000000001,0.0478,474063.0,0.0938,30,1990,0,1,0,6.03,0,0,0.0,0.0,9.47,Unclear ROI,53290.17857142858,0.0,474.063,3,Midwest,0,0.4995,2,7,0,0,5,2.0,AI Pioneers
SME_00077,2023,Colorado,Technology & Software,Medium (50-249),99,5.968500000000001,0.0596,375304.0,0.1999,20,2003,1,0,0,4.99,1,2,29926.25,12.1,17.92,,60287.8787878788,302.2853535353535,375.304,3,West,1,0.58905,9,4,4,0,6,2.0,AI Pioneers
SME_00078,2021,North Carolina,Healthcare & Biotech,Small (10-49),19,1.712,0.0162,27668.0,0.144,13,2008,0,1,0,8.19,1,2,29926.25,17.57,20.1,,90105.26315789472,1575.0657894736842,27.668,2,Southeast,0,0.5419999999999999,4,19,2,2,6,3.0,Digital Explorers
SME_00079,2023,Florida,Construction,Micro (1-9),9,0.224,0.0606,13589.0,0.1047,46,1977,1,1,0,4.19,0,0,0.0,0.0,-8.14,Cost,24888.88888888889,0.0,13.589,1,Southeast,1,0.7189500000000001,1,5,2,1,0,3.0,Digital Explorers
SME_00080,2023,Arizona,Finance & Insurance,Micro (1-9),6,0.637,0.0326,20758.0,0.1066,42,1981,1,1,0,6.21,1,2,11664.0,14.77,3.6,,106166.66666666669,1944.0,20.758,1,Southwest,1,0.7385,3,1,3,1,6,3.0,Digital Explorers
SME_00081,2020,Washington,Healthcare & Biotech,Upper-Mid (250-500),112,5.968500000000001,0.079,1029580.0,0.1054,37,1983,0,0,0,7.41,1,7,29926.25,40.02,5.15,,53290.17857142858,267.1986607142857,1029.58,4,West,0,0.3934999999999999,4,27,4,3,6,2.0,AI Pioneers
SME_00082,2022,South Dakota,Finance & Insurance,Small (10-49),20,1.092,0.0551,60226.0,0.1322,29,1993,0,0,0,7.44,1,4,16057.0,29.71,11.65,,54600.0,802.85,60.226,2,Midwest,0,0.3719499999999999,3,23,0,2,6,1.0,Traditional SMEs
SME_00083,2020,Florida,Construction,Micro (1-9),2,0.141,0.0332,4681.0,0.0537,35,1985,0,1,0,3.53,0,0,0.0,0.0,-4.28,Data quality,70500.0,0.0,4.681,1,Southeast,0,0.38255,1,5,2,1,1,3.0,Digital Explorers
SME_00084,2019,Michigan,Finance & Insurance,Micro (1-9),4,0.173,0.0295,5101.0,0.0332,25,1994,1,0,0,5.0,1,4,1750.0,13.5,-3.93,,43250.0,437.5,5.101,1,Midwest,0,0.46085,3,12,0,1,6,1.0,Traditional SMEs
SME_00085,2023,Arizona,Construction,Micro (1-9),5,0.185,0.0216,3987.0,0.0967,37,1986,1,0,0,3.15,0,0,0.0,0.0,9.93,Cost,37000.0,0.0,3.987,1,Southwest,1,0.42525,1,1,3,1,0,1.0,Traditional SMEs
SME_00086,2023,Georgia,Healthcare & Biotech,Micro (1-9),7,0.688,0.0422,29006.0,0.0827,49,1974,1,0,0,5.38,1,6,18748.0,40.94,8.36,,98285.71428571428,2678.285714285714,29.006,1,Southeast,1,0.51605,4,6,2,1,6,1.0,Traditional SMEs
SME_00087,2024,New York,Finance & Insurance,Micro (1-9),1,0.082,0.0179,1460.0,0.1343,26,1998,0,1,1,6.17,1,2,8983.0,12.09,16.94,,82000.0,8983.0,1.46,1,Northeast,1,0.4790999999999999,3,18,1,1,6,0.0,Cost-Conscious Adopters
SME_00088,2024,Indiana,Technology & Software,Upper-Mid (250-500),112,5.968500000000001,0.0479,292250.0,0.1491,32,1992,1,1,0,6.75,1,2,29926.25,4.71,13.81,,53290.17857142858,267.1986607142857,292.25,4,Midwest,1,0.7989,9,8,0,3,6,2.0,AI Pioneers
SME_00089,2022,California,Manufacturing,Micro (1-9),7,0.472,0.0341,16097.0,0.0274,25,1997,1,0,0,4.61,0,0,0.0,0.0,16.16,Security concerns,67428.57142857143,0.0,16.097,1,West,0,0.4531499999999999,6,3,4,1,4,1.0,Traditional SMEs
SME_00090,2023,Wyoming,Construction,Small (10-49),12,0.653,0.0238,15577.0,0.1427,14,2009,1,0,1,5.55,0,0,0.0,0.0,0.28,Unclear ROI,54416.666666666664,0.0,15.577,2,West,1,0.52355,1,29,4,2,5,0.0,Cost-Conscious Adopters
SME_00091,2023,Georgia,Construction,Micro (1-9),9,0.305,0.0209,6352.0,0.0928,15,2008,0,1,0,4.58,0,0,0.0,0.0,-6.55,Cost,33888.88888888889,0.0,6.352,1,Southeast,1,0.41515,1,6,2,1,0,3.0,Digital Explorers
SME_00092,2023,Indiana,Education,Micro (1-9),6,0.066,0.0442,2906.0,0.1567,4,2019,1,0,1,3.49,0,0,0.0,0.0,0.77,Lack of expertise,11000.0,0.0,2.906,1,Midwest,1,0.49935,2,8,0,1,2,0.0,Cost-Conscious Adopters
SME_00093,2022,Pennsylvania,Professional Services,Small (10-49),48,3.152,0.0442,139302.0,0.0436,50,1972,1,1,0,5.3,0,0,0.0,0.0,15.16,Security concerns,65666.66666666667,0.0,139.302,2,Northeast,0,0.6971,7,22,1,2,4,3.0,Digital Explorers
SME_00094,2023,Tennessee,Education,Small (10-49),22,1.059,0.0878,92901.0,0.1205,35,1988,1,1,0,4.22,1,6,6638.0,21.15,8.89,,48136.36363636364,301.72727272727275,92.901,2,Southeast,1,0.76855,2,24,2,2,6,3.0,Digital Explorers
SME_00095,2023,Massachusetts,Hospitality & Food,Micro (1-9),6,0.23,0.021,4834.0,0.133,40,1983,1,1,0,6.37,0,0,0.0,0.0,1.38,Cost,38333.333333333336,0.0,4.834,1,Northeast,1,0.7391,5,11,1,1,0,3.0,Digital Explorers
SME_00096,2024,Tennessee,Technology & Software,Micro (1-9),8,0.656,0.0224,14708.0,0.1238,3,2021,0,1,1,4.48,1,5,9292.0,20.91,4.15,,82000.0,1161.5,14.708,1,Southeast,1,0.4299,9,24,2,1,6,0.0,Cost-Conscious Adopters
